Metric,Value
Depreciation,41921
DepreciationAndAmortization,41921
OperatingLeaseCost,8847
VariableLeaseCost,1852
StockBasedCompensation,19621
OperatingLeaseAssets,66123
OperatingLeaseLiabilities,72968
OperatingLeaseNewAssetsObtained,NULL
OperatingLeaseDiscountRate,2.8
FinanceLeaseAssets,68000
FinanceLeaseLiabilities,18019
FinanceLeaseNewAssetsObtained,NULL
FinanceLeaseDiscountRate,3.1
FinanceLeaseTerm,17.9
Goodwill,20288
DeferredTaxAssets,34509
DeferredTaxLiabilities,9039
InterestExpense,2367
InterestIncome,989
