Metric,Value
Depreciation,22000
DepreciationAndAmortization,6000
StockBasedCompensation,11974
OperatingLeaseAssets,24823
OperatingLeaseLiabilities,22861
Goodwill,51001
DeferredTaxLiabilities,19670
InterestExpense,1600
InterestIncome,2647
OperatingLeaseCost,5524
OperatingLeaseNewAssetsObtained,7826
OperatingLeaseDiscountRate,3.5
FinanceLeaseAssets,44015
FinanceLeaseLiabilities,46172
FinanceLeaseNewAssetsObtained,20511
FinanceLeaseDiscountRate,4.2
FinanceLeaseTerm,13
DeferredTaxAssets,47912
VariableLeaseCost,NULL
